Topic,Question,Answer,A,B,C,D,Paragraph 1,Paragraph 2,Paragraph 3,Fact 1,Fact 2,Fact 3,Question_Type,Reference,ID,Sub_topic,Subject
Ảo Thanh,Việc phát hiện nguyên nhân thực sự gây nên ảo thanh có vai trò gì trong điều trị?,2,Giúp tăng cường khả năng nghe của bệnh nhân,"Giúp kiểm soát được nguyên căn, từ đó ảo thanh sẽ biến mất hoặc ít xảy ra",Giúp bệnh nhân tự điều trị mà không cần đến bác sĩ,Giúp bệnh nhân cảm thấy vui vẻ hơn,"Việc điều trị phụ thuộc vào nguyên nhân thực sự gây nên ảo thanh. Khi bạn và bác sĩ kiểm soát được nguyên căn thật sự, ảo thanh sẽ biến mất hoặc ít nhất là không xảy ra quá thường xuyên. Trong một số trường hợp, bác sĩ có thể hạ thấp liều thuốc của bạn, hoặc việc điều trị có thể phức tạp hơn với thuốc và nhiều liệu pháp trị liệu khác để đạt được hiệu quả. Khi bạn thường xuyên gặp ảo thanh, bạn cần phải đến gặp bác sĩ để xác định nguyên nhân và có phương án điều trị sớn. Ảo thanh nếu không điều trị sẽ gây ra nhiều hậu quả nghiêm trọng cho người bệnh.",0,0,"Việc điều trị phụ thuộc vào nguyên nhân thực sự gây nên ảo thanh. Khi bạn và bác sĩ kiểm soát được nguyên căn thật sự, ảo thanh sẽ biến mất hoặc ít nhất là không xảy ra quá thường xuyên.",0,0,What,https://hellodoctors.vn/trieu-chung/trieu-chung-nghe-tieng-noi-trong-dau-nguyen-nhan-va-cach-dieu-tri.html,What1,Ảo Thần,Hội chứng ảo giác
Sợ không gian hẹp,chứng sợ không gian hẹp gây ảnh hưởng đến điều gì,1,"đến sức khỏe, đời sống sinh hoạt",đến sinh hoạt,đến hạnh phúc,đến niềm vui,"Một số yếu tố có thể làm kích hoạt nỗi sợ này đó chính là việc ở trong một căn phòng nhỏ không có cửa sổ, bên trong thang máy, ở trên máy bay,…Vài trường hợp còn cho biết rằng họ cảm thấy khó chịu và sợ hãi khi phải mặc các trang phục kín cổ. Mức độ sợ hãi ở mỗi người sẽ khác nhau và gây ảnh hưởng đến sức khỏe, đời sống sinh hoạt nếu không kịp thời phát hiện và can thiệp đúng cách.
",0,0,"Mức độ sợ hãi ở mỗi người bệnh sợ không gian hẹp sẽ khác nhau và gây ảnh hưởng đến sức khỏe, đời sống sinh hoạt nếu không kịp thời phát hiện và can thiệp đúng cách.",0,0,What,https://trilieutamly.com/hoi-chung-so-khong-gian-hep-11290.html,What2,Sợ không gian hẹp,Lo sợ và rối loạn lo sợ (Anxiety Disorders)
Hội Chứng Baby Blues,Đâu là một số lý do và yếu tố nguy cơ có liên quan đến hội chứng Baby Blues?,3,Sự thay đổi từ từ của nội tiết tố,Sự thay đổi đột ngột của tế bào,"Sự thay đổi đột ngột của nội tiết tố, sự thay đổi vật lý, do căng thẳng, stress",Sự thay đổi đột ngột của các tinh thể,"Như đã chia sẻ ở trên, hiện vẫn chưa có bất kì nghiên cứu chính xác nào khẳng định về các nguyên nhân gây ra hội chứng Baby Blues. Tuy nhiên, các nhà khoa học cũng đã chỉ ra được một số lý do và yếu tố nguy cơ có liên quan đến tình trạng này. Cụ thể như sau: Sự thay đổi đột ngột của nội tiết tố, sự thay đổi vật lý, do căng thẳng, stress",0,0,"Như đã chia sẻ ở trên, hiện vẫn chưa có bất kì nghiên cứu chính xác nào khẳng định về các nguyên nhân gây ra hội chứng Baby Blues. Tuy nhiên, các nhà khoa học cũng đã chỉ ra được một số lý do và yếu tố nguy cơ có liên quan đến tình trạng này. Cụ thể như sau: Sự thay đổi đột ngột của nội tiết tố, sự thay đổi vật lý, do căng thẳng, stress",0,0,What,https://trilieutamly.com/tranh-nham-lan-hoi-chung-baby-blues-va-tram-cam-sau-sinh-13584.html,What3,Hội Chứng Baby Blues,Hội Chứng Baby Blues
Hoang tưởng bị hại,Thế nào là hội chứng hoang tưởng bị hại?,2,"Một loại rối loạn tâm thần mà người bệnh có xu hướng có mối quan hệ không lành mạnh với thức ăn, có thể dẫn đến ăn quá nhiều hoặc quá ít, hoặc có thái độ không lành mạnh về cân nặng và hình dáng của cơ thể."," một tình trạng bệnh tâm thần rất phổ biến hiện nay. Căn bệnh này được biểu hiện với nhiều dạng khác nhau như hoang tưởng ghen tuông, hoang tưởng cơ thể, hoang tưởng tự cao, hoang tưởng được yêu và hoang tưởng bị hại. ", là tình trạng tổn thương khu vực tai trong và não khiến cơ thể mất thăng bằng.," Một chứng rối loạn phát triển đặc trưng bởi khiếm khuyết về mặt quan hệ nhân sinh, giao tiếp ngôn ngữ, giao tiếp phi ngôn ngữ và hành vi sở thích hạn chế và lặp đi lặp lại.","Hoang tưởng bị hại là một dạng của chứng hoang tưởng, người bệnh luôn nghĩ rằng có người muốn mưu hại mình. Từ đó, khiến nhiều bệnh nhân gây tổn hại đến người thân, bạn bè. Hoang tưởng bị hại thường đi kèm với các ảo giác như ảo thanh, ảo thị. ","Hoang tưởng bị hại là một trong những dạng rối loạn hoang tưởng phổ biến hiện nay (gồm hoang tưởng bị hại, ghen tuông hoang tưởng, hoang tưởng cơ thể, hoang tưởng được yêu, hoang tưởng tự cao). Đặc trưng của tình trạng này chính là người bệnh luôn có niềm tin rằng đang có người hay một thế lực nào đó có âm mưu làm hại mình, cảm giác như luôn có mối nguy hiểm kề cận nên luôn trong trạng thái đề phòng. Thậm chí họ còn có thể yêu cầu các cơ quan, tổ chức có thẩm quyền bảo vệ mình. Điểm chung của những người mắc chứng hoang tưởng chính là họ luôn nghi ngờ xung quanh và luôn cho rằng mình đúng, niềm tin ấy vô cùng mãnh liệt nên cho dù ai có đưa ra bằng chứng nào cũng không thể thay đổi suy nghĩ này. Họ dành rất nhiều thời gian để bảo vệ mình. Những hành động hết sức bình thường của những người xung quanh cũng đều trở thành nguy hiểm hoặc mang tính chất khiêu khích, coi thường thông qua con mắt của những người mắc chứng hoang tưởng.","Rối loạn hoang tưởng là một tình trạng bệnh tâm thần rất phổ biến hiện nay. Căn bệnh này được biểu hiện với nhiều dạng khác nhau như hoang tưởng ghen tuông, hoang tưởng cơ thể, hoang tưởng tự cao, hoang tưởng được yêu và hoang tưởng bị hại. Trong đó, hoang tưởng bị hại được đánh giá là có mức độ nguy hiểm nhất trong tất cả các loại rối loạn hoang tưởng.  Những người mắc phải chứng hoang tưởng này thường tồn tại một niềm tin to lớn rằng có một người hay một thế lực nào đó đang có âm mưu muốn làm hại họ. Bệnh nhân luôn có cảm giác mất an toàn, luôn cho rằng nguy hiểm đang cận kề và họ luôn sống trong trạng thái phòng thủ, nghi ngờ tất cả mọi người xung quanh. Thậm chí có nhiều người hợp còn liên tục yêu cầu các cơ quan, tổ chức có thẩm quyền bảo vệ mình dù thực tế không đúng như những gì họ nghĩ.  Cũng chính vì những suy nghĩ lệch lạc của bản thân nên người bệnh hoang tưởng bị hại luôn cảm thấy nghi ngờ mọi người xung quanh và luôn bảo vệ quan điểm của mình, cho rằng những gì mình nghĩ là hoàn toàn đúng. Thậm chí nhiều người còn cố gắng tìm kiếm các thông tin, bằng chứng, chi tiết để chứng minh rằng suy nghĩ của mình là chính xác.  Mặc dù biết rằng những niềm tin của người bệnh là không đúng với thực tế nhưng không có bất kì ai có thể giải thích và thay đổi được họ. Họ sẽ dành nhiều thời gian để tự bảo vệ chính mình. Họ sẽ luôn đề phòng và qua mắt nhìn của người hoang tưởng bị hại thì tất cả các hành động hết sức bình thường của những người xung quanh đều mang tính chất khiêu khích, nguy hiểm. ","Hoang tưởng bị hại là một dạng của chứng hoang tưởng, người bệnh luôn nghĩ rằng có người muốn mưu hại mình. Từ đó, khiến nhiều bệnh nhân gây tổn hại đến người thân, bạn bè. Hoang tưởng bị hại thường đi kèm với các ảo giác như ảo thanh, ảo thị. ","Hoang tưởng bị hại là một trong các loại rối loạn hoang tưởng phổ biến ngày nay. Đặc điểm của nó là niềm tin rằng có người hoặc thế lực đang âm mưu hại mình, luôn cảm thấy nguy hiểm và đề phòng. Người bệnh có thể yêu cầu bảo vệ từ cơ quan chính phủ. Họ luôn nghi ngờ và tin rằng mình đúng, không thể thay đổi suy nghĩ này. Họ dành nhiều thời gian để tự bảo vệ và coi mọi hành động của người khác đều là mối nguy hiểm hoặc khiêu khích.","Rối loạn hoang tưởng là một vấn đề tâm thần phổ biến, bao gồm nhiều dạng như hoang tưởng ghen tuông, hoang tưởng cơ thể, hoang tưởng tự cao, hoang tưởng được yêu và hoang tưởng bị hại. Trong số đó, hoang tưởng bị hại được xem là nguy hiểm nhất. Người mắc bệnh này tin rằng có ai đó hoặc một thế lực muốn hại họ, luôn sống trong sự đe dọa và đề phòng. Họ nghi ngờ mọi người xung quanh và cố gắng bảo vệ niềm tin của mình, thậm chí tìm kiếm bằng chứng để chứng minh suy nghĩ của mình. Mặc dù biết rằng niềm tin của họ không đúng, họ vẫn không thay đổi.",How,https://tamly.com.vn/hoang-tuong-bi-hai-6091.html ; https://tamlytrilieunhc.com/hoang-tuong-bi-hai-16103.html ,How1,Hoang tưởng bị hại,Rối loạn hoang tưởng
Chữa mất ngủ bằng hà thủ ô,"Khi sử dụng hà thủ ô để chữa mất ngủ, không nên sử dụng gì?",2,chất kích thích,"Các loại thuốc lợi tiểu, thuốc chống đông. Kiêng sử dụng củ hành và củ tỏi.",đồ uống có ga,gà và vịt,"Hà thủ ô được khuyến cáo không sử dụng chung với các loại thuốc lợi tiểu, thuốc chống đông. Việc này có thể gây sự tương tác lẫn nhau giữa các loại thuốc, từ đó là tăng tác dụng phụ gây nguy hại đến cho sức khỏe.","Đồng thời, trong quá trình chữa mất ngủ với hà thủ ô, tốt nhất bạn nên kiêng sử dụng củ hành và củ tỏi. Những thực phẩm này kỵ nhau nên dùng cùng nhau có thể gây ảnh hưởng không tốt cho người sử dụng.",0,"Hà thủ ô được khuyến cáo không sử dụng chung với các loại thuốc lợi tiểu, thuốc chống đông.","Đồng thời, trong quá trình chữa mất ngủ với hà thủ ô, tốt nhất bạn nên kiêng sử dụng củ hành và củ tỏi. ",0,What,https://trilieutamly.com/chua-mat-ngu-bang-ha-thu-o-5994.html,What4,Chữa mất ngủ bằng hà thủ ô,Chữa mất ngủ bằng hà thủ ô
Liệu pháp phân tâm học,"Bệnh nhân Duy, 36 tuổi, cảm thấy mất phương hướng và không hài lòng với cuộc sống hiện tại. Nhà trị liệu quyết định sử dụng kỹ thuật phân tích giấc mơ. Kỹ thuật này giúp Duy nhận ra điều gì về nguyên nhân của cảm giác này?",4,Những kỹ năng quản lý thời gian thiếu sót,Các vấn đề về sức khỏe thể chất,Những thói quen ăn uống không lành mạnh,Các suy nghĩ và cảm xúc tiềm thức liên quan đến các trải nghiệm tiêu cực trong quá khứ,"Psychoanalytic Therapy là phương pháp tập trung vào việc khám phá các yếu tố vô thức trong tâm trí con người. Phương pháp này có những đặc điểm chính như sau: Chú trọng vào quá khứ, đặc biệt là những trải nghiệm thời thơ ấu, các quan hệ trong quá khứ. Khám phá vô thức thông qua phân tích giấc mơ, liên tưởng tự do, giải thích các hành vi vô thức. Quá trình dài hạn, thời gian trị liệu có thể kéo dài từ vài tháng đến vài năm. Mối quan hệ giữa nhà trị liệu và bệnh nhân đóng vai trò hết sức quan trọng, ảnh hưởng trực tiếp đến hiệu quả trị liệu.","Quy trình và cách thực hiện liệu pháp phân tâm học như sau: Tạo lập mối quan hệ trị liệu: Tạo niềm tin, môi trường an toàn, thoải mái để người được trị liệu dễ dàng chia sẻ suy nghĩ, cảm xúc. Thu thập thông tin và đánh giá: Thu thập thông tin của người được trị liệu, sử dụng các công cụ, kỹ thuật đánh giá tâm lý. Khám phá vô thức và xung đột nội tâm: Khuyến khích cá nhân nói ra tất cả những gì xuất hiện trong tâm trí, sử dụng kỹ thuật phân tích giấc mơ để giải mã suy nghĩ trong tiềm thức. Nhận diện, phân tích các mô hình hành vi, cảm xúc: Nhận diện các mô hình hành vi, cảm xúc lặp đi lặp lại, phân tích ảnh hưởng của quá khứ đến hành vi, cảm xúc hiện tại.","Ưu điểm của liệu pháp phân tâm học: Giúp cá nhân hiểu rõ những xung đột nội tâm và các yếu tâm tâm lý ẩn giấu ảnh hưởng đến hành vi, cảm xúc. Giúp người được trị liệu nhận diện, hiểu rõ các cơ chế phòng vệ được sử dụng để bảo vệ bản thân khỏi các suy nghĩ, hành vi tiêu cực. Giải quyết tận gốc vấn đề gây ra các rối loạn tâm lý liên quan đến những trải nghiệm hay các mối quan hệ trong quá khứ. Trang bị cho cá nhân khả năng tự nhận thức, hiểu rõ bản thân, biết cách đối phó các vấn đề trong cuộc sống. ","Psychoanalytic Therapy là phương pháp tập trung vào việc khám phá các yếu tố vô thức trong tâm trí con người. Phương pháp này có những đặc điểm chính như sau: Chú trọng vào quá khứ, đặc biệt là những trải nghiệm thời thơ ấu, các quan hệ trong quá khứ. ","Khám phá vô thức và xung đột nội tâm: Khuyến khích cá nhân nói ra tất cả những gì xuất hiện trong tâm trí, sử dụng kỹ thuật phân tích giấc mơ để giải mã suy nghĩ trong tiềm thức. ","Giúp cá nhân hiểu rõ những xung đột nội tâm và các yếu tâm tâm lý ẩn giấu ảnh hưởng đến hành vi, cảm xúc. Giải quyết tận gốc vấn đề gây ra các rối loạn tâm lý liên quan đến những trải nghiệm hay các mối quan hệ trong quá khứ.",Complex,https://iphd.vn/lieu-phap-phan-tam-hoc-2203.html,Complex1,Liệu pháp phân tâm học,Phương pháp điều trị phân tâm học
Bức bối giới,Tên tiếng anh của bức bối giới là gì?,4,Gender chaos,Gender tense,Gender afraid,Gender Dysphoria,"Bức bối giới (tiếng Anh: Gender Dysphoria) là cảm giác bức bối một người cảm nhận được do bản dạng giới và giới họ được chỉ định sau sinh không trùng khớp với nhau. Trước đây, tên gọi Rối loạn định dạng giới (tiếng Anh: Gender Identity Disorder) được dùng để chỉ tình trạng này, đến năm 2013 thì DSM-5 (Cẩm nang Chẩn đoán và Thống kê Rối loạn Tâm thần) đã đổi tên nó để bỏ đi cụm từ ""Rối loạn"", việc đổi tên gọi nhằm tránh gây ra ác cảm với người bệnh. Tại Bảng phân loại quốc tế về bệnh phiên bản mới nhất (ICD-11) có hiệu lực từ năm 2022 của Tổ chức Y tế thế giới, Rối loạn định dạng giới cũng được đổi tên thành ""Không phù hợp giới"". ",0,0,Bức bối giới (tiếng Anh: Gender Dysphoria) là cảm giác bức bối một người cảm nhận được do bản dạng giới và giới họ được chỉ định sau sinh không trùng khớp với nhau.,0,0,What,Wikipedia,What5,Bức bối giới,Rối loạn lo âu
Cáu gắt,"Anh Sơn thường cảm thấy mệt mỏi và khó chịu vào buổi sáng, đặc biệt là sau khi có một giấc ngủ không ngon. Anh dễ cáu gắt với đồng nghiệp và cảm thấy khó tập trung vào công việc. Tình trạng này có thể là do điều gì gây ra?",2,Anh Sơn có thể chỉ cần thay đổi chế độ ăn uống để cảm thấy tốt hơn,"Anh Sơn có thể đang bị thiếu ngủ, gây ra mệt mỏi và cáu gắt","Anh Sơn có thể bị căng thẳng từ công việc, dẫn đến các triệu chứng này",Anh Sơn có thể chỉ cần nghỉ ngơi một vài ngày để hồi phục,"Cảm giác dễ nổi nóng mất kiểm soát hoặc tình trạng hay cáu gắt ở một người thường phát sinh bởi nhiều vấn đề khác nhau. Trong đó, phổ biến nhất có thể là các vấn đề như sau: Áp lực cuộc sống; Trầm cảm và những cảm xúc tiêu cực; Lo lắng quá nhiều; Các rối loạn sợ chuyên biệt; Thiếu ngủ; Hạ đường huyết; Mất cân bằng nội tiết tố gây thay đổi tâm trạng; Hội chứng tiền kinh nguyệt; Cơn đau mãn tính","Thiếu ngủ gây cáu gắt, khó chịu: Việc không ngủ đủ giấc (hay thiếu ngủ) thường dẫn đến cảm giác khó chịu, gắt gỏng. Đặc biệt, trẻ nhỏ là đối tượng dễ bị kích động và bộc lộ cảm xúc khác thường nếu ngủ không đủ giấc. Thiếu ngủ là một biểu hiện của rối loạn giấc ngủ. Bạn có thể trằn trọc, thao thức và khó đi vào giấc ngủ; hoặc ngủ không sâu giấc, dễ thức giấc trong đêm và khó ngủ trở lại; hoặc dậy sớm hơn bình thường.","Một trong những rối loạn lo âu phổ biến là rối loạn lo âu lan tỏa (GAD). Dấu hiệu của bệnh GAD có thể gồm: Chậm chạp hoặc dễ kích động. Cảm thấy mệt mỏi và mất năng lượng. Cảm thấy tự ti, vô dụng, hoặc mặc cảm tội lỗi. Giảm khả năng tập trung, hoặc thiếu quyết đoán. Mất hứng thú đáng kể trong hầu hết mọi việc, mọi hoạt động hằng ngày. Rối loạn giấc ngủ: mất ngủ hoặc ngủ nhiều quá dễ khiến bạn trở nên hay cáu gắt. Cảm thấy buồn chán, trống rỗng, vô vọng, hoặc dễ khóc một mình. Ở trẻ em và người lớn tuổi, có thể thấy sự cáu gắt. Giảm cân đáng kể dù không ăn kiêng, hoặc tăng cân trong một số trường hợp, thay đổi khẩu vị (có thể giảm hoặc tăng khẩu vị). Có suy nghĩ đến cái chết (hoặc sợ chết), ý nghĩ tự tự, lên kế hoạch hoặc cố gắng tự tử.","Trong đó, phổ biến nhất có thể là các vấn đề như sau: Áp lực cuộc sống; Trầm cảm và những cảm xúc tiêu cực; Lo lắng quá nhiều; Các rối loạn sợ chuyên biệt; Thiếu ngủ; ","Thiếu ngủ gây cáu gắt, khó chịu: Việc không ngủ đủ giấc (hay thiếu ngủ) thường dẫn đến cảm giác khó chịu, gắt gỏng. ",Rối loạn giấc ngủ: mất ngủ hoặc ngủ nhiều quá dễ khiến bạn trở nên hay cáu gắt.,Complex,https://hellobacsi.com/tam-ly-tam-than/quan-ly-cang-thang/nguyen-nhan-cau-gat-va-cach-dieu-tri/,Complex2,Cáu gắt,Rối loạn kiểm soát cảm xúc và hành vi
Căng thẳng,Áp lực quá lớn sẽ gây ra điều gì?,2,dẫn đến ít vấn đề đối với cơ thể và điều đó có thể cực kì có hại,dẫn đến nhiều vấn đề đối với cơ thể và điều đó có thể cực kì có hại,dẫn đến nhiều vấn đề đối với cơ thể và điều đó có thể cực kì có lợi,dẫn đến ít vấn đề đối với cơ thể và điều đó có thể cực kì có lợi,"Căng thẳng, trong tiếng Anh là Stress, gốc là từ tiếng Latinh stringere nghĩa là ""kéo căng"". Ở người, căng thẳng thường được mô tả là một tình trạng tiêu cực hay tích cực có ảnh hưởng đến sức khỏe tinh thần và thể chất của người đó. Theo tâm lý học giải thích thì đây là một cảm giác căng thẳng và dồn ép. Áp lực với cường độ thấp có thể là một điều tốt và thậm chí có lợi ích trong công việc và sức khỏe. Stress tích cực giúp tăng hiệu suất vận động thể thao. Nó cũng có vai trò trong động lực, thích nghi và phản ứng với môi trường xung quanh. Tuy nhiên với một lượng áp lực quá nhiều có thể dẫn đến nhiều vấn đề đối với cơ thể và điều đó có thể cực kì có hại.",0,0,Tuy nhiên với một lượng áp lực quá nhiều có thể dẫn đến nhiều vấn đề đối với cơ thể và điều đó có thể cực kì có hại.,0,0,What,Wikipedia,What6,Căng thẳng,Rối loạn lo âu và rối loạn liên quan
Lạm dụng thuốc lắc ,"Nhiều ngày sau khi lạm dụng thuốc lắc (MDMA), người sử dụng thường bị rối loạn giấc ngủ có phải không",1,phải,không,có thể,không có dữ liệu,"Nhiều ngày sau khi lạm dụng thuốc lắc (MDMA), người sử dụng thường bị giảm cảm giác thèm ăn, rối loạn giấc ngủ, đau cơ, khó tập trung, trầm cảm.
",0,0,"Nhiều ngày sau khi lạm dụng thuốc lắc (MDMA), người sử dụng thường bị giảm cảm giác thèm ăn, rối loạn giấc ngủ, đau cơ, khó tập trung, trầm cảm.
",0,0,Yes No,Lạm dụng thuốc lắc (MDMA) gây hại gì và cách cai nghiện • Hello Bacsi,Yes No1,Lạm dụng thuốc lắc,Rối loạn liên quan đến chất
