Question,Answer,A,B,C,D,ID,Paragraph 1,Paragraph 2,Paragraph 3,Fact 1,Fact 2,Fact 3,Question_Type
Người mắc chứng sợ bị nhìn nên duy trì tinh thần ra sao?,3,Trong trạng thái lo lắng,Trong trạng thái luôn vui vẻ," luôn khỏe mạnh, lạc quan, tích cực, tin vào chính mình để phát triển bản thân đến những điều tốt đẹp nhất.",Trạng thái ổn định,How318,"Bên cạnh việc dùng thuốc và trị liệu tâm lý, các biện pháp hỗ trợ tại nhà cũng đóng góp vai trò quan trọng trong việc loại bỏ sớm vấn đề tâm lý này. Bệnh nhân cần giữ cho tinh thần luôn khỏe mạnh, lạc quan, tích cực, tin vào chính mình để phát triển bản thân đến những điều tốt đẹp nhất.
",0,0,"Bệnh nhân scopophobia cần giữ cho tinh thần luôn khỏe mạnh, lạc quan, tích cực, tin vào chính mình để phát triển bản thân đến những điều tốt đẹp nhất.",0,0,How
"""Mối quan hệ giữa rối loạn tuyến giáp và trầm cảm là gì?""",1,Chặt chẽ,Không rõ ràng,Cần nghiên cứu thêm,Không có thông tin,How952,"Các nhà nghiên cứu từ lâu đã nhận ra rằng có mối liên hệ giữa sự mất cân bằng tuyến giáp và chứng trầm cảm, mặc dù cơ chế chính xác về cách chúng tương tác vẫn chưa được hiểu đầy đủ. Không chỉ những người bị rối loạn tuyến giáp dễ bị trầm cảm, mà bằng chứng cũng cho thấy rằng việc điều trị hormone tuyến giáp có thể tăng cường hiệu quả của thuốc chống trầm cảm.",0,0,"Các nhà nghiên cứu từ lâu đã nhận ra rằng có mối liên hệ giữa sự mất cân bằng tuyến giáp và chứng trầm cảm, mặc dù cơ chế chính xác về cách chúng tương tác vẫn chưa được hiểu đầy đủ.",0,0,How
"""Chứng lo âu phân ly là gì?""",4,"là nỗi sợ hãi phải xa cách, xảy ra ở trẻ em khi nghĩ về việc rời xa những người mà họ đã quen thuộc.","là nỗi sợ hãi phải xa cách, có thể xảy ra ở người lớn khi họ nghĩ về việc rời xa những người mà họ đã quen thuộc.","là nỗi sợ hãi phải xa cách, có thể xảy ra ở cả trẻ em và người lớn khi họ nghĩ về việc rời xa những người mà sự vật đã quen thuộc.","là nỗi sợ hãi phải chia xa, có thể xảy ra ở cả trẻ em và người lớn khi họ nghĩ về việc rời xa những người mà họ đã gắn bó.",What123,"Chứng lo sợ phân ly nỗi sợ hãi phải chia xa, có thể xảy ra ở cả trẻ em và người lớn khi họ nghĩ về việc rời xa những người mà họ đã gắn bó. Chứng lo sợ phân ly là một phần bình thường trong giai đoạn phát triển của trẻ. Hội chứng thường xảy ra ở trẻ từ 8-12 tháng tuổi và thường biến mất khi trẻ được 2 tuổi. Chứng lo sợ phân ly cũng có thể xảy ra ở người lớn tuổi.",0,0,"Chứng lo sợ phân ly là nỗi sợ hãi phải chia xa, có thể xảy ra ở cả trẻ em và người lớn khi họ nghĩ về việc rời xa những người mà họ đã gắn bó. ",0,0,What
"""An cảm thấy áp lực mỗi khi đối diện với những biến đổi lớn trong cuộc sống. An nên làm gì để tăng cường sức mạnh tinh thần?""",1,Thực hành ngồi thiền và tập trung vào việc tìm kiếm giải pháp cho vấn đề,Bỏ qua các vấn đề và mong chúng tự biến mất,Thức khuya và lo lắng về những khó khăn gặp phải,Tự cô lập và tránh tiếp xúc với mọi người,Complex136,Sau đây là 7 cách tăng sức đề kháng cho sức khỏe tinh thần: Tập trung vào việc tìm kiếm giải pháp cho vấn đề. Cách tăng sức đề kháng cho tinh thần: Ngồi thiền. Tập thể dục để tăng cường sức đề kháng cho cơ thể về cả thể chất lẫn tinh thần. Không ngủ muộn và ngủ đủ giấc. Cách tăng sức đề kháng cho tinh thần: kết nối với mọi người. Dành thời gian sống với thiên nhiên. Cải thiện chế độ ăn uống. ,"Tập trung vào việc tìm kiếm giải pháp cho vấn đề để tăng sức đề kháng cho sức khỏe tinh thần: Một trong những cách tăng sức đề kháng cho sức khỏe tinh thần trước tác nhân gây căng thẳng là tập trung vào việc tìm kiếm giải pháp. Ví dụ, nếu thời gian hoàn thành các hạng mục công việc sắp tới khiến bạn lo lắng, hãy tìm hiểu chiến lược quản lý thời gian để làm việc. Tương tự với các tình huống khác, việc tập trung vào giải pháp bao giờ cũng hiệu quả hơn so với việc chỉ tập trung vào vấn đề.","Cách tăng sức đề kháng cho tinh thần như ngồi thiền để tăng sức đề kháng cho sức khỏe tinh thần: Trong nhiều nghiên cứu khoa học, ngồi thiền đã được chứng minh có tác dụng làm giảm căng thẳng. Thực tế, việc ngồi thiền thường xuyên và đúng cách làm cho các khu vực não có liên quan đến phản ứng căng thẳng co lại. Chính vì thế, tinh thần của bạn cũng có xu hướng “bình thản” hơn khi đối mặt với những tác nhân gây căng thẳng hoặc áp lực trong cuộc sống.",Sau đây là 7 cách tăng sức đề kháng cho sức khỏe tinh thần: Tập trung vào việc tìm kiếm giải pháp cho vấn đề. Cách tăng sức đề kháng cho tinh thần: Ngồi thiền.,"Một trong những cách tăng sức đề kháng cho sức khỏe tinh thần trước tác nhân gây căng thẳng là tập trung vào việc tìm kiếm giải pháp. Ví dụ, nếu thời gian hoàn thành các hạng mục công việc sắp tới khiến bạn lo lắng, hãy tìm hiểu chiến lược quản lý thời gian để làm việc.","Trong nhiều nghiên cứu khoa học, ngồi thiền đã được chứng minh có tác dụng làm giảm căng thẳng. Thực tế, việc ngồi thiền thường xuyên và đúng cách làm cho các khu vực não có liên quan đến phản ứng căng thẳng co lại.",Complex
Chế độ ăn uống trong thai kỳ có thể gây ra chứng tăng động giảm chú ý ở trẻ không?,1,"Có, một số nghiên cứu khác cũng chỉ ra rằng, chế độ ăn uống thiếu dinh dưỡng và độc tố từ môi trường tích tụ trong thời gian mang thai có khả năng tác động đến hệ thần kinh trung ương của thai nhi và làm tăng nguy cơ mắc rối loạn tăng động giảm chú ý.",Không chắc chắn,Có thể không,Không có thông tin,Yes No808,"Nguyên nhân cụ thể dẫn đến rối loạn tăng động giảm chú ý vẫn chưa được làm rõ. Hiện nay, các nhà khoa học đang tiếp tục đào sâu tìm hiểu. Theo một số nghiên cứu, yếu tố di truyền có thể liên quan chặt chẽ đến quá trình hình thành và phát triển bệnh lý.
","Thế nhưng, cơ chế di truyền rất phức tạp và có thể không chỉ chịu ảnh hưởng của một lỗi di truyền đơn lẻ. Một số nghiên cứu khác cũng chỉ ra rằng, chế độ ăn uống thiếu dinh dưỡng và độc tố từ môi trường tích tụ trong thời gian mang thai có khả năng tác động đến hệ thần kinh trung ương của thai nhi và làm tăng nguy cơ mắc rối loạn tăng động giảm chú ý.",0,"Nguyên nhân cụ thể dẫn đến rối loạn tăng động giảm chú ý vẫn chưa được làm rõ. Hiện nay, các nhà khoa học đang tiếp tục đào sâu tìm hiểu. Theo một số nghiên cứu, yếu tố di truyền có thể liên quan chặt chẽ đến quá trình hình thành và phát triển bệnh lý.","Một số nghiên cứu khác cũng chỉ ra rằng, chế độ ăn uống thiếu dinh dưỡng và độc tố từ môi trường tích tụ trong thời gian mang thai có khả năng tác động đến hệ thần kinh trung ương của thai nhi và làm tăng nguy cơ mắc rối loạn tăng động giảm chú ý.",0,Yes No
Liệu pháp gia đình có thể cải thiện điều gì trong các mối quan hệ gia đình?,4,Chỉ chú trọng vào vấn đề cá nhân,Chủ yếu tập trung vào các vấn đề kinh tế,Giải quyết các vấn đề học tập của từng thành viên,"Giao tiếp, quản lý xung đột và xây dựng sự gắn kết",Which1199,"Liệu pháp gia đình (Family Therapy) là hình thức trị liệu được thiết kế để giải quyết các vấn đề liên quan đến gia đình ảnh hưởng đến sức khỏe tâm thần. Liệu pháp giúp cải thiện giao tiếp, quản lý xung đột, xây dựng sự gắn kết trong mối quan hệ giữa các thành viên trong gia đình. Liệu pháp gia đình là phương pháp trị liệu được phát triển bởi nhiều nhà nghiên cứu và chuyên gia. Nổi bật như Murray Bowen, Salvador Minuchin, Gregory Bateson, Jay Haley, Cloe Madanes… Hiện nay, liệu pháp này được phát triển và ứng dụng rộng rãi tại nhiều quốc gia trên thế giới.",0,0,"Liệu pháp giúp cải thiện giao tiếp, quản lý xung đột, xây dựng sự gắn kết trong mối quan hệ giữa các thành viên trong gia đình.",0,0,Which
"""Những người tiêu thụ nhiều thực phẩm chiên xào có nguy cơ mắc bệnh ung thư cao hơn người bình thường không?""",1,có ,không chắc,có thể không,Chưa có thông tin,What3008,"Các thực phẩm trong quá trình chiên rán sẽ làm tăng sản sinh acrylamide và các béo có hại cho hệ thần kinh trung ương và khiến rối loạn hệ thần kinh thực phẩm trầm trọng hơn. Rất nhiều thống kê thực tế đều cho thấy những người ăn nhiều các thực phẩm chiên rán có nguy cơ mắc ung thư cao hơn những người có chế độ ăn lành mạnh.
Để cải thiện tình trạng này, bạn nên ưu tiên lựa chọn các loại dầu thực vật và chỉ dùng dầu một lần, không nên tái chế biến lại để giảm nguy cơ mắc bệnh tật.",0,0, Rất nhiều thống kê thực tế đều cho thấy những người ăn nhiều các thực phẩm chiên rán có nguy cơ mắc ung thư cao hơn những người có chế độ ăn lành mạnh.,0,0,What
Rối loạn bùng phát gián đoạn (Intermittent Explosive Disorder) là gì?,2,"Rối loạn bùng phát gián đoạn (Intermittent Explosive Disorder) là một chứng bệnh tâm thần phổ biến, bao gồm các giai đoạn lặp đi lặp lại, đột ngột của hành vi đồng cảm, hung hăng, bạo lực hoặc bộc phát bằng lời nói tức giận; trong đó phản ứng hoàn toàn không phù hợp với tình huống.","Rối loạn bùng phát gián đoạn (Intermittent Explosive Disorder) là một chứng bệnh tâm thần ít được biết đến, bao gồm các giai đoạn lặp đi lặp lại, đột ngột của hành vi bốc đồng, hung hăng, bạo lực hoặc bộc phát bằng lời nói tức giận; trong đó phản ứng hoàn toàn không phù hợp với tình huống.","Rối loạn bùng phát gián đoạn (Intermittent Explosive Disorder) là một chứng bệnh tâm thần ít được biết đến, bao gồm các giai đoạn lặp đi lặp lại, đột ngột của hành vi bốc đồng, hung hăng, bạo lực hoặc bộc phát bằng lời nói tức giận; trong đó phản ứng hoàn toàn phù hợp với tình huống.","Rối loạn bùng phát gián đoạn (Intermittent Explosive Disorder) là một chứng bệnh rối loạn ngôn ngữ ít được biết đến, bao gồm các giai đoạn lặp đi lặp lại, đột ngột của hành vi bốc đồng, hung hăng, bạo lực hoặc bộc phát bằng lời nói tức giận; trong đó phản ứng hoàn toàn không phù hợp với tình huống.",What514,"Rối loạn bùng phát gián đoạn (Intermittent Explosive Disorder) là một chứng bệnh tâm thần ít được biết đến, bao gồm các giai đoạn lặp đi lặp lại, đột ngột của hành vi bốc đồng, hung hăng, bạo lực hoặc bộc phát bằng lời nói tức giận; trong đó phản ứng hoàn toàn không phù hợp với tình huống.","Cá nhân người bệnh có thể biểu hiện một trong những triệu chứng dưới đây:

La hét.
Tức giận.
Gắt gỏng.
Tức ngực.
Hung hăng.
Đánh nhau.
Căng thẳng.
Hoang tưởng.
Phá hoại tài sản.
Đánh trống ngực.
Đe dọa người khác.
Dư thừa năng lượng.
Hành hung người hoặc động vật.","Nguyên nhân chính xác của rối loạn bùng phát gián đoạn đến nay vẫn chưa được biết; nhưng nó có thể do một số yếu tố môi trường và yếu tố sinh học gây ra.

-Yếu tố môi trường: Hầu hết những người mắc chứng rối loạn này đều lớn lên trong những gia đình có hành vi bạo lực thể xác và bạo lực ngôn từ; việc tiếp xúc với những hành vi này khi còn nhỏ sẽ khiến trẻ có khả năng phát triển đặc điểm giống vậy khi chúng trưởng thành.
-Yếu tố di truyền: Một số thành phần di truyền gây ra rối loạn được truyền từ cha mẹ sang con cái.","Rối loạn bùng phát gián đoạn (Intermittent Explosive Disorder) là một chứng bệnh tâm thần ít được biết đến, bao gồm các giai đoạn lặp đi lặp lại, đột ngột của hành vi bốc đồng, hung hăng, bạo lực hoặc bộc phát bằng lời nói tức giận; trong đó phản ứng hoàn toàn không phù hợp với tình huống.","Cá nhân người bệnh có thể biểu hiện một trong những triệu chứng dưới đây:

La hét.
Tức giận.
Gắt gỏng.
Tức ngực.
Hung hăng.
Đánh nhau.
Căng thẳng.
Hoang tưởng.
Phá hoại tài sản.
Đánh trống ngực.
Đe dọa người khác.
Dư thừa năng lượng.
Hành hung người hoặc động vật.","Nguyên nhân chính xác của rối loạn bùng phát gián đoạn đến nay vẫn chưa được biết; nhưng nó có thể do một số yếu tố môi trường và yếu tố sinh học gây ra.
-Yếu tố môi trường
-Yếu tố di truyền",What
Người mắc chứng trầm cảm thường có cảm giác gì về bản thân?,4,Cảm giác tự hào về bản thân,Cảm giác tự tin và kiêu ngạo,Cảm giác mình có giá trị đối với người khác,Cảm giác kém cỏi và vô giá trị,Which310,"Dấu hiệu và triệu chứng của trầm cảm bao gồm: Thường xuyên mệt mỏi và mất năng lượng: Người bị trầm cảm thường cảm thấy mệt mỏi, uể oải và kiệt quệ về thể chất. Họ thấy toàn bộ cơ thể nặng nề, và ngay cả những nhiệm vụ nhỏ cũng khiến họ mệt mỏi hoặc mất nhiều thời gian hơn để hoàn thành. Có cảm giác bất lực, tội lỗi quá mức, tự thấy bản thân kém cỏi: Lòng tự trọng hay sự tự tin thấp có đặc trưng là cảm giác vô giá trị và thấy bản thân không có khả năng để làm bất kỳ điều gì. Tuy lòng tự trọng không phải nguyên nhân gây ra trầm cảm; nhưng nó có thể làm trầm trọng thêm hoặc khiến một người tự làm tổn thương chính mình.",0,0,"Có cảm giác bất lực, tội lỗi quá mức, tự thấy bản thân kém cỏi: Lòng tự trọng hay sự tự tin thấp có đặc trưng là cảm giác vô giá trị và thấy bản thân không có khả năng để làm bất kỳ điều gì.",0,0,Which
Liệu có đúng rằng không phải ai cũng cảm thấy tự tin hoặc dễ chịu khi bị người khác nhìn chằm chằm không?,1,phải,sai,có thể,Không có đáp án nào chính xác,Yes No1328,"Thực tế không phải ai cũng có thể tự tin hay thoải mái khi có người đang nhìn chằm chằm vào mình, kể cả những người vốn đã quen với điều đó. Tuy nhiên cảm giác này thường chỉ dừng ở mức độ khó chịu hoặc đôi khi là tức giận. Tuy nhiên cảm xúc của bệnh nhân Scopophobia lại là sự sợ hãi, hoảng loạn, tìm cách né tránh. Kể cả hiện tại không có ai nhìn họ thì người bệnh vẫn luôn bị ý nghĩ này ám ảnh và trở nên căng thẳng tột độ.
",0,0,"Thực tế không phải ai cũng có thể tự tin hay thoải mái khi có người đang nhìn chằm chằm vào mình, kể cả những người vốn đã quen với điều đó. ",0,0,Yes No
