Question,Answer,A,B,C,D,Fact 1,Fact 2,Fact 3,Question_Type
"""Ngoài trầm cảm, việc thiếu vitamin B còn tác động như thế nào đến con người?""",3,tăng nguy cơ đột quỵ,thiếu máu lên não," gia tăng nguy cơ bị rối loạn giấc ngủ, rối loạn lo âu,…",không muốn ăn,"Ngoài trầm cảm, thiếu vitamin B còn gia tăng nguy cơ bị rối loạn giấc ngủ, rối loạn lo âu,… ",0,0,How
"""Bệnh nhân scopophobia nên duy trì tinh thần như thế nào""",3,trong trạng thái tiêu cực,trong trạng thái luôn biết ơn," luôn khỏe mạnh, lạc quan, tích cực, tin vào chính mình để phát triển bản thân đến những điều tốt đẹp nhất.",Trạng thái bình tĩnh,"Bệnh nhân scopophobia cần giữ cho tinh thần luôn khỏe mạnh, lạc quan, tích cực, tin vào chính mình để phát triển bản thân đến những điều tốt đẹp nhất.",0,0,How
"""Cụ thể cách phân loại tư duy theo quá trình hình thành và mức độ phát triển như thế nào?""",4,Tư duy theo cách phân chia này được phân làm 2 kiểu: Tư duy trực quan - hành động; Tư duy trực quan- hình ảnh.,Tư duy theo cách phân chia này được phân làm 3 kiểu: Tư duy hành động; Tư duy trực quan- hình ảnh; Tư duy trừu tượng (Tư duy từ ngữ - logic).,Tư duy theo cách phân chia này được phân làm 3 kiểu: Tư duy trực quan - hành động; Tư duy trực quan - suy nghĩ; Tư duy trừu tượng (Tư duy từ ngữ - logic).,Tư duy theo cách phân chia này được phân làm 3 kiểu: Tư duy trực quan - hành động; Tư duy trực quan- hình ảnh; Tư duy trừu tượng (Tư duy từ ngữ - logic).,"Tư duy trực quan - hành động 
- Là loại tư duy xuất hiện sớm nhất về phương diện phát sinh chủng loại cũng như về phương diện phát sinh cá thể.
- Là tư duy mà việc giải quyết nhiệm vụ được thực hiện nhờ sự cải tổ thực tế các tình huống và nhờ các hành động vận động nhằm giải quyết những nhiệm vụ cụ thể, trực quan.
- Loại tư duy này có ở người và một số động vật bậc cao.
- Trong quá trình phát sinh chủng loại và cá thể, con người trước tiên giải quyết những nhiệm vụ cụ thể, trước mắt, sau đó mới hình thành lý luận và hoạt động lý thuyết.
- Loại tư duy này là lọai tư duy chủ yếu ở trẻ 3-4 tuổi. Loại tư duy này ở trẻ được hoàn thiện dần và ngày càng giữ vai trò thứ yếu. ","Tư duy trực quan - hình ảnh
- Loại tư duy này xuất hiện muộn hơn tư duy trực quan hành động và phát triển ở mức độ cao hơn.
- Chỉ có ở người, đặc biệt là ở trẻ nhỏ.
- Là loại tư duy giải quyết nhiệm vụ được thực hiện bằng sự cải tổ tình huống chỉ trên bình diện hình ảnh.
- Tư duy trực quan hình ảnh của học sinh được phát triển mạnh thông qua văn học.","ư duy trừu tượng (tư duy từ ngữ - logic)
- Là loại tư duy ra đời muộn nhất và chỉ có ở con người. 
- Là loại tư duy mà việc giải quyêt nhiệm vụ được dựa trên việc sử dụng các khái niệm, các kết cấu logic, được tồn tại và vận hành nhờ ngôn ngữ.
Các loại tư duy nói trên có quan hệ mật thiết với nhau, bổ sung và chi phối lẫn nhau. Tư duy trực quan hành động và tư duy trực quan hình ảnh là cơ sở cho tư duy trừu tượng. ",How
"""Hội chứng EHS đã được mô tả rõ ràng và đặt tên là 'Exploding head syndrome' vào năm 1989 bởi ai?""",1,John MS Pearce,Peter Goadsby,Robert Armstrong-Jones,Silas Weir Mitchell,Vào năm 1989 thì một mô tả chi tiết của hội chứng và tên “Exploding head syndrome” (EHS) được đưa ra bởi nhà thần kinh học người Anh John MS Pearce.,0,0,Who
"""Biểu hiện của trầm cảm sau sinh thường ra sao?""",2,"Các dấu hiệu thường thấy bao gồm lo âu thái quá: người bệnh có những biểu hiện lo lắng, bồn chồn, lo lắng cho những việc xung quanh dù chúng rất bình thường; Sợ hãi vô lý: sợ hãi, bị ám ảnh bởi những thứ tưởng chừng vô hại như sợ độ cao, sợ đám đông, sợ động vật, ...; Hồi tưởng: thường xuyên nhớ lại các sự kiện đã xảy ra; Những hành vi cưỡng bách: không thể ngồi yên, suy nghĩ nhiều và không thể dừng lại; Căng cơ, nhịp tim nhanh, ra nhiều mồ hôi, khó chịu ở dạ dày, có cảm giác chóng mặt; Rối loạn tiêu hóa kéo dài, đi ngoài phân xanh; Có vấn đề về giấc ngủ: mất ngủ, chất lượng giấc ngủ không ổn định, khó ngủ,...; Tự nghi ngờ bản thân; Cân nặng bị giảm; Vã mồ hôi; Cảm giác kiệt sức; Khó tập trung, suy nghĩ về bất cứ việc gì hơn là vấn đề hiện tại; Khó ngủ; Vấn đề về tiêu hóa; Khó kiểm soát sự lo lắng;","Các dấu hiệu thường gặp bao gồm buồn bã, ít quan tâm, thay đổi về cân nặng, da xanh xao, tự ti, khóc không lý do, mệt mỏi, rối loạn giấc ngủ, mất trí nhớ, ngại giao tiếp, và cảm giác muốn tự tử hoặc giết con.","Dấu hiệu bao gồm thay đổi cân nặng đột ngột, thái độ tiêu cực đối với thức ăn, tính toán calo cẩn thận, thói quen ăn không bình thường, tự ti về cơ thể, và các vấn đề hành vi ăn uống như nhai và nôn mửa tự gây tổn thương hoặc ăn ẩn.","Dấu hiệu bao gồm tâm trạng buồn, mất hứng thú, mệt mỏi, giảm ham muốn, khó ngủ hoặc ngủ quá nhiều, thay đổi cân nặng, khó tập trung, tự ti, tự ái, ý nghĩ về tự tử, giảm tự tin, cảm giác vô vọng, và suy giảm hoạt động hàng ngày.","Sau thời kỳ sinh nở, người phụ nữ có rất nhiều sự thay đổi về cả thể chất lẫn tâm lý. Lúc này sức khỏe người mẹ rất yếu lại thêm việc phải nuôi con, cho con bú khiến mẹ càng thêm mệt mỏi. Những yếu tố cả bên trong và bên ngoài tác động khiến tâm lý mẹ rất dễ bị suy sụp. Nếu không có biện pháp chăm sóc đúng cách rất dễ dẫn đến nguy cơ gây trầm cảm sau sinh (Postpartum Depression)","Postpartum Depression được đặc trưng bởi sự suy giảm về khí sắc, tinh thần, người mẹ luôn trong trạng thái buồn bã, chán nản, tuyệt vọng. Người mẹ bộc lộ rõ sự thay đổi về mặt tính cách, chẳng hạn ít nói, lầm lì, không muốn giao tiếp, dễ cáu giận, không muốn ai ở gần con. Tùy vào từng người mà mức độ biểu hiện khác nhau, tuy nhiên điểm chung đều là các vấn đề cực kỳ nguy hiểm.","Triệu chứng trầm cảm sau sinh có thể biến đổi tùy theo giai đoạn và đối tượng. Một số phụ nữ thể hiện sự u buồn từ sớm, trong khi khác lại giữ vẻ bình thường, khiến việc phát hiện muộn màng. Người bệnh thường nhận ra vấn đề nhưng khó thoát khỏi nó. Sự quan tâm từ gia đình rất quan trọng vì nếu chỉ chờ họ tự tìm kiếm giúp đỡ, thì khó khăn. Các dấu hiệu thường gặp bao gồm buồn bã, ít quan tâm, thay đổi về cân nặng, da xanh xao, tự ti, khóc không lý do, mệt mỏi, rối loạn giấc ngủ, mất trí nhớ, ngại giao tiếp, và cảm giác muốn tự tử hoặc giết con.",How
- Thời gian cần thiết để đáp ứng đủ các tiêu chí chẩn đoán cho giai đoạn hưng cảm hoặc hưng cảm nhẹ là bao lâu?,3,Ít hơn 1 tuần,Trong vòng 6 tháng,Hơn 1 tháng,Hơn 2 tuần,"Không có một khoảng thời gian nào kéo dài đến 1 tháng (hoặc hơn), trong đó có đủ các tiêu chuẩn, trừ tiêu chuẩn thời gian, đáp ứng chẩn đoán giai đoạn hưng cảm hoặc hưng cảm nhẹ.",0,0,How
"""Mỗi năm có khoảng bao nhiêu phụ nữ bị tác động bởi trầm cảm nặng và tự tử?""",2,khoảng 72 triệu,khoảng 73 triệu,khoảng 75 triệu,khoảng 76 triệu,"Trong khi tỉ lệ các rối loạn tâm lý thường bằng nhau giữa nam và nữ, thì nữ có khuynh hướng có tỉ lệ cao hơn ở nhóm trầm cảm.",0,0,How
"""Giá cho một liều Bupropion là bao nhiêu?""",2,"ít hơn 0,5 đô la Mỹ vào năm 2019"," ít hơn 0,5 đô la Mỹ vào năm 2018","ít hơn 0,5 đô la Mỹ vào năm 2021","ít hơn 0,5 đô la Mỹ vào năm 2022","ại Hoa Kỳ, chi phí bán buôn cho mỗi liều Bupropion  ít hơn 0,5 đô la Mỹ vào năm 2018.",0,0,How
"""Số lượng người đến khám RLCD tại bệnh viện Bình Dân TPHCM trong khoảng thời gian từ 2000 đến 2002 là bao nhiêu?""",4,2.400 người,2.300 người,2.200 người,2.100 người ," Phòng khám nam khoa bệnh viện Bình Dân Thành phố Hồ Chí Minh, trong 3 năm (2000 -2002) đã có trên 2.100 người đến khám vì bệnh rối loạn cường dương này với độ tuổi dao động rộng từ 18 đến 78. ","Rối loạn cường dương (RLCD) (tiếng Anh: Erectile dysfunction) là một rối loạn chức năng tình dục ở nam giới, có biểu hiện là dương vật không đủ cương cứng lên được trong quá trình giao hợp.",0,How
"""Sự phát triển các chức năng tâm lý của trẻ sơ sinh diễn ra như thế nào?""",3,"Hiện tượng tâm lý đơn giản nhất của đời sống tinh thần con người mang tính bẩm sinh, song đây là bẩm sinh mang do tự tạo. Cảm giác của thai nhi xuất hiện nhờ hoạt động của giác quan tiếp nhận tác động của tác nhân từ bụng mẹ hoặc tác nhân kích thích gián tiếp của môi trường bên ngoài. Thời gian đầu nội cảm của trẻ phát triển mạnh lấn át ngoại cảm. Do giác quan còn non yếu nên ngưỡng cảm giác của trẻ sơ sinh còn rất cao. Cảm giác của trẻ sơ sinh mang tính hỗn hợp, tràn lan, không phân định rõ ràng. Trẻ chưa thể phân biệt được vị trí của những nơi xuất hiện kích thích, thế giới đối với trẻ là một bức tranh lúc ẩn, lúc hiện, không tồn tại thường xuyên và mọi điều ở trong tình trạng bất phân. Chú ý của trẻ sơ sinh xuất hiện rất sớm, sau khi sinh được 3 đến 4 ngày trẻ đã biết hướng về phía ánh sáng, phạm vi chú ý của trẻ ngày càng mở rộng và đặc trưng là chú ý thụ động. Trẻ sơ sinh chưa có biểu hiện của trí nhớ.","Hiện tượng tâm lý đơn giản nhất của đời sống tinh thần con người mang tính bẩm sinh. Cảm giác của thai nhi xuất hiện nhờ hoạt động của giác quan tiếp nhận tác động của tác nhân từ bụng mẹ hoặc tác nhân kích thích gián tiếp của môi trường bên ngoài. Thời gian đầu nội cảm của trẻ phát triển mạnh lấn át ngoại cảm. Do giác quan còn non yếu nên ngưỡng cảm giác của trẻ sơ sinh còn rất cao. Cảm giác của trẻ sơ sinh mang tính hỗn hợp, tràn lan, không phân định rõ ràng. Trẻ chưa thể phân biệt được vị trí của những nơi xuất hiện kích thích, thế giới đối với trẻ là một bức tranh lúc ẩn, lúc hiện, không tồn tại thường xuyên và mọi điều ở trong tình trạng bất phân. Chú ý của trẻ sơ sinh xuất hiện rất sớm, sau khi sinh được 3 đến 4 ngày trẻ đã biết hướng về phía ánh sáng, phạm vi chú ý của trẻ ngày càng mở rộng và đặc trưng là chú ý thụ động. Trẻ sơ sinh chưa có biểu hiện của trí nhớ.","Hiện tượng tâm lý đơn giản nhất của đời sống tinh thần con người mang tính bẩm sinh, song đây là bẩm sinh mang do tự tạo. Cảm giác của thai nhi xuất hiện nhờ hoạt động của giác quan tiếp nhận tác động của tác nhân từ bụng mẹ hoặc tác nhân kích thích gián tiếp của môi trường bên ngoài. Thời gian đầu nội cảm của trẻ phát triển mạnh lấn át ngoại cảm. Do giác quan còn non yếu nên ngưỡng cảm giác của trẻ sơ sinh còn rất cao. Cảm giác của trẻ sơ sinh mang tính hỗn hợp, tràn lan, không phân định rõ ràng. Trẻ chưa thể phân biệt được vị trí của những nơi xuất hiện kích thích, thế giới đối với trẻ là một bức tranh lúc ẩn, lúc hiện, không tồn tại thường xuyên và mọi điều ở trong tình trạng bất phân.Chú ý của trẻ  sơ sinh xuất hiện rất sớm, sau khi sinh  được 3 đến 4 ngày trẻ đã biết hướng về phía ánh sáng, phạm vi chú ý của trẻ ngày càng mở rộng và đặc trưng là chú ý thụ động. Trẻ sơ sinh chưa có biểu hiện của trí nhớ. ","Hiện tượng tâm lý đơn giản nhất của đời sống tinh thần con người mang tính bẩm sinh, song đây là bẩm sinh mang do tự tạo."," Hiện tượng tâm lý đơn giản nhất của đời sống tinh thần con người mang tính bẩm sinh, song đây là bẩm sinh mang do tự tạo. Cảm giác của thai nhi xuất hiện nhờ hoạt động của giác quan tiếp nhận tác động của tác nhân từ bụng mẹ hoặc tác nhân kích thích gián tiếp của môi trường bên ngoài. Hơn nữa những quá trình cảm giác này thuần túy mang tính sinh vật, chưa hề được xã hội hóa","Thời gian đầu nội cảm của trẻ phát triển mạnh lấn át ngoại cảm. Chủ yếu trẻ tiếp nhận kích thích từ cơ quan nội tạng trong cơ thể báo về sự đói, khát, lạnh…từ đó trẻ có những phản ứng như co quắp, cựa quậy, khó chịu v v. Những kích thích bên ngoài chỉ khi nào mạnh, trẻ mới nhận ra.","Do giác quan còn non yếu nên ngưỡng cảm giác của trẻ sơ sinh còn rất cao.
Cảm giác của trẻ sơ sinh mang tính hỗn hợp, tràn lan, không phân định rõ ràng. Trẻ chưa thể phân biệt được vị trí của những nơi xuất hiện kích thích, thế giới đối với trẻ là một bức tranh lúc ẩn, lúc hiện, không tồn tại thường xuyên và mọi điều ở trong tình trạng bất phân.
Chú ý của trẻ sơ sinh xuất hiện rất sớm, sau khi sinh  được 3 đến 4 ngày trẻ đã biết hướng về phía ánh sáng, phạm vi chú ý của trẻ ngày càng mở rộng và đặc trưng là chú ý thụ động.
Trẻ sơ sinh chưa có biểu hiện của trí nhớ. Tuy nhiên theo bản chất của hoạt động nhớ, trẻ đã có giai đoạn ghi nhớ tài liệu biểu hiện ở phản xạ có điều kiện được thành lập.",How
